iter	Passed	Remaining
605	20240	46560
606	20270	46518
607	20306	46490
608	20338	46455
609	20371	46420
610	20401	46380
611	20430	46336
612	20455	46284
613	20496	46266
614	20526	46226
615	20560	46195
616	20601	46177
617	20633	46141
618	20664	46103
619	20699	46072
620	20733	46040
621	20761	45995
622	20787	45946
623	20817	45904
624	20846	45863
625	20877	45823
626	20903	45774
627	20932	45730
628	20961	45687
629	20986	45636
630	21014	45591
631	21041	45545
632	21068	45498
633	21102	45466
634	21147	45458
635	21184	45432
636	21219	45403
637	21305	45482
638	21365	45506
639	21418	45513
640	21455	45488
641	21485	45448
642	21514	45404
643	21541	45357
644	21569	45312
645	21597	45268
646	21628	45230
647	21657	45187
648	21687	45146
649	21715	45101
650	21739	45047
651	21762	44994
652	21788	44945
653	21821	44911
654	21851	44869
655	21885	44838
656	21922	44813
657	21957	44783
658	21992	44753
659	22035	44739
660	22072	44712
661	22105	44677
662	22134	44636
663	22163	44594
664	22189	44546
665	22219	44505
666	22247	44462
667	22274	44416
668	22301	44369
669	22329	44325
670	22358	44284
671	22385	44238
672	22418	44203
673	22454	44176
674	22496	44159
675	22527	44122
676	22567	44100
677	22607	44081
678	22650	44067
679	22686	44038
680	22725	44015
681	22759	43983
682	22792	43950
683	22834	43933
684	22871	43905
685	22909	43881
686	22945	43854
687	22983	43828
688	23015	43792
689	23047	43757
690	23197	43944
691	23243	43934
692	23311	43964
693	23349	43940
694	23381	43902
695	23416	43871
696	23450	43838
697	23480	43798
698	23518	43774
699	23556	43747
700	23595	43724
701	23635	43701
702	23671	43673
703	23714	43655
704	23757	43638
705	23788	43601
706	23820	43564
707	23851	43525
708	23880	43483
709	23908	43439
710	23933	43390
711	23962	43348
712	23988	43299
713	24017	43257
714	24050	43223
715	24090	43201
716	24131	43180
717	24175	43165
718	24211	43136
719	24251	43113
720	24330	43161
721	24390	43173
722	24450	43185
723	24496	43174
724	24542	43160
725	24588	43149
726	24629	43126
727	24666	43098
728	24707	43077
729	24739	43039
730	24778	43015
731	24811	42979
732	24841	42939
733	24866	42889
734	24895	42846
735	24928	42811
736	24956	42767
737	24984	42724
738	25013	42682
739	25043	42642
740	25069	42594
741	25095	42547
742	25124	42505
743	25150	42457
744	25178	42414
745	25211	42379
746	25252	42357
747	25289	42328
748	25326	42301
749	25360	42267
750	25391	42229
751	25426	42197
752	25458	42160
753	25492	42127
754	25524	42089
755	25553	42048
756	25580	42002
757	25602	41950
758	25628	41904
759	25652	41854
760	25676	41804
761	25704	41761
762	25733	41719
763	25764	41681
764	25903	41817
765	25938	41785
766	25968	41745
767	26012	41728
768	26065	41725
769	26104	41698
770	26144	41675
771	26180	41644
772	26207	41599
773	26240	41565
774	26270	41524
775	26301	41485
776	26333	41448
777	26361	41405
778	26390	41363
779	26418	41320
780	26455	41292
781	26491	41261
782	26528	41232
783	26571	41212
784	26608	41183
785	26644	41153
